RefDes,Digikey Number
A1,1604-1004-1-ND
BAT1,BK-912-ND
C1,490-6405-1-ND
C3,490-1405-1-ND
C4,490-1405-1-ND
C5,490-6405-1-ND
C6,490-1543-1-ND
C7,490-1512-1-ND
C8,490-3297-1-ND
C9,490-1543-1-ND
C10,490-1543-1-ND
C11,490-1494-1-ND
D1,475-2709-1-ND
D2,475-2712-1-ND
MK1,423-1134-1-ND
R1,311-1.0KGRCT-ND
R2,311-1.0KGRCT-ND
R3,311-1.0KGRCT-ND
R4,311-10.0KHRCT-ND
R5,311-100KGRCT-ND
R6,311-100KGRCT-ND
R7,311-100KGRCT-ND
R8,311-1.0KGRCT-ND
S1,401-2002-1-ND
S2,CKN9087CT-ND
U1,1265-1144-1-ND
U2,296-18474-1-ND
U3,MCP6231T-E/OTCT-ND
Y1,535-11937-1-ND
