SMD component position file.
Centroid Data for pc board: "badge_03v4.brd" as of: 3/14/16 8:33 
Measurements are in mm. Comma delimited
Only surface mount components included

RefDes,LocationX,LocationY,Rotation,Layer
A1,9.500,36.500,90,Top
BAT1,15.000,12.250,0,Top
C1,23.000,41.500,0,Top
C2,22.250,43.500,0,Top
C3,9.250,26.000,180,Top
C4,17.250,26.000,0,Top
C5,24.000,31.750,0,Top
C6,21.000,52.000,90,Top
C7,22.250,45.500,0,Top
C8,23.500,52.000,90,Top
C9,11.500,60.500,90,Top
C10,22.750,61.000,0,Top
C11,26.500,59.000,180,Top
C12,7.500,48.375,270,Top
C13,15.000,26.500,0,Bottom
C14,20.750,32.500,90,Top
D1,3.500,63.000,0,Top
D2,3.500,60.500,0,Top
MK1,15.000,60.500,180,Top
R1,9.500,48.375,90,Top
R2,9.500,60.500,270,Top
R3,7.500,60.500,270,Top
R4,26.500,61.000,180,Top
R5,26.500,47.500,0,Top
R6,26.500,49.500,0,Top
R7,26.500,57.000,180,Top
R8,5.500,48.375,90,Top
R9,15.000,41.750,0,Bottom
R10,15.000,39.500,0,Bottom
S1,15.000,53.000,0,Top
S2,24.500,25.750,0,Top
U1,25.500,35.500,180,Top
U2,22.250,48.500,0,Top
U3,26.500,53.500,90,Top
U4,15.000,34.500,90,Bottom
Y1,13.250,26.000,180,Top
Y2,15.000,28.750,0,Bottom
