SMD component position file.
Centroid Data for pc board: "badge_03v6.brd" as of: 11/8/17 3:46 PM
Measurements are in mm. Comma delimited
Only surface mount components included

RefDes,LocationX,LocationY,Rotation,Layer
A1,9.500,36.500,90,Top
BAT1,15.000,12.250,0,Top
BAT2,15.000,12.250,0,Bottom
BAT3,15.000,12.250,217,Bottom
BAT4,15.000,12.250,323,Top
C1,23.000,41.500,0,Top
C2,22.250,43.500,0,Top
C3,9.250,26.000,180,Top
C4,17.250,26.000,0,Top
C5,24.000,31.750,0,Top
C6,21.000,52.000,90,Top
C7,22.250,45.500,0,Top
C8,23.500,52.000,90,Top
C9,11.500,60.500,90,Top
C10,22.750,61.000,0,Top
C11,26.500,59.000,180,Top
C12,7.500,48.375,270,Top
C14,20.750,32.500,90,Top
C15,27.250,26.000,0,Top
C16,26.000,28.125,0,Top
C17,24.250,26.000,180,Top
D1,3.500,63.000,0,Top
D2,3.500,60.500,0,Top
MIC_F,23.375,59.000,0,Top
MK1,15.000,60.500,180,Top
M_ENA,21.000,56.750,270,Top
M_RAW,20.000,62.000,0,Top
M_VCC,26.125,44.625,0,Top
R1,9.500,48.375,90,Top
R2,9.500,60.500,270,Top
R3,7.500,60.500,270,Top
R4,26.500,61.000,180,Top
R5,26.500,47.500,0,Top
R6,26.500,49.500,0,Top
R7,26.500,57.000,180,Top
R8,5.500,48.375,90,Top
R11,27.500,21.125,0,Top
R12,24.375,21.125,180,Top
S4,15.000,53.000,270,Top
U1,25.875,23.625,90,Top
U2,22.250,48.500,0,Top
U3,26.500,53.500,90,Top
U5,25.500,35.500,180,Top
Y1,13.250,26.000,180,Top
