DATETIME,MAC,RSSI
"2018-03-07 16:49:43.575","EC:8F:47:27:6C:DE",-65
"2018-03-07 16:49:43.579","CB:3C:59:5F:87:FB",-65
"2018-03-07 16:49:43.606","CB:3C:59:5F:87:FB",-65
"2018-03-07 16:49:43.831","D9:86:6F:AF:E8:90",-63
"2018-03-07 16:49:43.833","D9:86:6F:AF:E8:90",-63
"2018-03-07 16:49:43.835","C1:96:24:5B:EB:97",-56
"2018-03-07 16:49:43.837","C1:96:24:5B:EB:97",-56
"2018-03-07 16:49:43.858","68:64:4B:39:4B:0F",-103
"2018-03-07 16:49:43.868","C2:57:36:E6:71:6E",-60
"2018-03-07 16:49:43.882","C2:57:36:E6:71:6E",-60
"2018-03-07 16:49:43.882","E5:3B:3A:53:DF:6C",-60
"2018-03-07 16:49:43.883","E5:3B:3A:53:DF:6C",-60
"2018-03-07 16:49:43.887","F1:4E:55:EA:ED:A4",-62
"2018-03-07 16:49:43.889","F1:4E:55:EA:ED:A4",-62
"2018-03-07 16:49:43.899","C8:2F:80:DA:26:94",-68
"2018-03-07 16:49:43.901","C8:2F:80:DA:26:94",-68
"2018-03-07 16:49:43.901","75:33:23:D6:E1:5E",-99
"2018-03-07 16:49:43.904","01:03:AD:B6:F5:B6",-58
"2018-03-07 16:49:44.124","01:03:AD:B6:F5:B6",-70
"2018-03-07 16:49:44.125","DC:94:C8:A9:D0:B6",-68
"2018-03-07 16:49:44.134","DC:94:C8:A9:D0:B6",-68
"2018-03-07 16:49:44.137","F8:77:B8:B9:2D:74",-97
"2018-03-07 16:49:44.211","EC:8F:47:27:6C:DE",-63
"2018-03-07 16:49:44.215","EC:8F:47:27:6C:DE",-63
"2018-03-07 16:49:44.431","68:64:4B:39:4B:0F",-98
"2018-03-07 16:49:44.432","01:03:AD:B6:F5:B6",-55
"2018-03-07 16:49:44.433","F8:77:B8:B9:2D:74",-94
"2018-03-07 16:49:44.437","C1:96:24:5B:EB:97",-58
"2018-03-07 16:49:44.448","C1:96:24:5B:EB:97",-58
"2018-03-07 16:49:44.449","D9:86:6F:AF:E8:90",-66
"2018-03-07 16:49:44.450","D9:86:6F:AF:E8:90",-66
"2018-03-07 16:49:44.453","E8:FA:0D:3C:01:82",-61
"2018-03-07 16:49:44.462","E8:FA:0D:3C:01:82",-61
"2018-03-07 16:49:44.466","E9:0D:4A:6D:31:59",-64
"2018-03-07 16:49:44.470","E9:0D:4A:6D:31:59",-64
"2018-03-07 16:49:44.476","C2:57:36:E6:71:6E",-68
"2018-03-07 16:49:44.485","C2:57:36:E6:71:6E",-68
"2018-03-07 16:49:44.487","F1:4E:55:EA:ED:A4",-64
"2018-03-07 16:49:44.489","F1:4E:55:EA:ED:A4",-64
"2018-03-07 16:49:44.494","E5:3B:3A:53:DF:6C",-61
"2018-03-07 16:49:44.509","E5:3B:3A:53:DF:6C",-61
"2018-03-07 16:49:44.727","C8:2F:80:DA:26:94",-68
"2018-03-07 16:49:44.737","C8:2F:80:DA:26:94",-68
"2018-03-07 16:49:44.739","DC:94:C8:A9:D0:B6",-61
"2018-03-07 16:49:44.806","EC:8F:47:27:6C:DE",-63
"2018-03-07 16:49:44.810","EC:8F:47:27:6C:DE",-63
"2018-03-07 16:49:45.018","CB:3C:59:5F:87:FB",-63
"2018-03-07 16:49:45.052","CB:3C:59:5F:87:FB",-63
"2018-03-07 16:49:45.056","C1:96:24:5B:EB:97",-63
"2018-03-07 16:49:45.059","C1:96:24:5B:EB:97",-67
"2018-03-07 16:49:45.063","F8:77:B8:B9:2D:74",-97
"2018-03-07 16:49:45.065","D9:86:6F:AF:E8:90",-68
"2018-03-07 16:49:45.070","D9:86:6F:AF:E8:90",-68
"2018-03-07 16:49:45.073","E8:FA:0D:3C:01:82",-68
"2018-03-07 16:49:45.077","E8:FA:0D:3C:01:82",-68
"2018-03-07 16:49:45.085","E9:0D:4A:6D:31:59",-62
"2018-03-07 16:49:45.100","E9:0D:4A:6D:31:59",-61
"2018-03-07 16:49:45.103","F1:4E:55:EA:ED:A4",-64
"2018-03-07 16:49:45.105","F1:4E:55:EA:ED:A4",-65
"2018-03-07 16:49:45.108","FD:99:D9:69:5D:BC",-63
"2018-03-07 16:49:45.109","FD:99:D9:69:5D:BC",-63
"2018-03-07 16:49:45.113","C2:57:36:E6:71:6E",-63
"2018-03-07 16:49:45.115","C2:57:36:E6:71:6E",-63
"2018-03-07 16:49:45.332","E5:3B:3A:53:DF:6C",-61
"2018-03-07 16:49:45.334","E5:3B:3A:53:DF:6C",-61
"2018-03-07 16:49:45.336","68:64:4B:39:4B:0F",-98
"2018-03-07 16:49:45.340","C8:2F:80:DA:26:94",-68
"2018-03-07 16:49:45.355","C8:2F:80:DA:26:94",-68
"2018-03-07 16:49:45.361","DC:94:C8:A9:D0:B6",-63
"2018-03-07 16:49:45.363","DC:94:C8:A9:D0:B6",-63
"2018-03-07 16:49:45.368","F1:4E:55:EA:ED:A4",-65
"2018-03-07 16:49:45.370","F1:4E:55:EA:ED:A4",-64
"2018-03-07 16:49:45.372","C2:57:36:E6:71:6E",-68
"2018-03-07 16:49:45.376","C2:57:36:E6:71:6E",-68
"2018-03-07 16:49:45.380","01:03:AD:B6:F5:B6",-55
"2018-03-07 16:49:45.380","F8:77:B8:B9:2D:74",-95
"2018-03-07 16:49:45.619","EC:8F:47:27:6C:DE",-63
"2018-03-07 16:49:45.634","EC:8F:47:27:6C:DE",-64
"2018-03-07 16:49:45.638","CB:3C:59:5F:87:FB",-60
"2018-03-07 16:49:45.640","CB:3C:59:5F:87:FB",-60
"2018-03-07 16:49:45.669","C1:96:24:5B:EB:97",-56
"2018-03-07 16:49:45.677","C1:96:24:5B:EB:97",-56
"2018-03-07 16:49:45.679","D9:86:6F:AF:E8:90",-63
"2018-03-07 16:49:45.692","E8:FA:0D:3C:01:82",-59
"2018-03-07 16:49:45.709","E8:FA:0D:3C:01:82",-59
"2018-03-07 16:49:45.713","E9:0D:4A:6D:31:59",-61
"2018-03-07 16:49:45.718","E9:0D:4A:6D:31:59",-61
"2018-03-07 16:49:45.931","75:33:23:D6:E1:5E",-101
"2018-03-07 16:49:45.931","C1:96:24:5B:EB:97",-63
"2018-03-07 16:49:45.932","C1:96:24:5B:EB:97",-63
"2018-03-07 16:49:45.933","FD:99:D9:69:5D:BC",-64
"2018-03-07 16:49:45.933","FD:99:D9:69:5D:BC",-64
"2018-03-07 16:49:45.956","E8:FA:0D:3C:01:82",-68
"2018-03-07 16:49:45.978","DC:94:C8:A9:D0:B6",-68
"2018-03-07 16:49:45.982","F8:77:B8:B9:2D:74",-98
"2018-03-07 16:49:45.987","01:03:AD:B6:F5:B6",-72
"2018-03-07 16:49:45.991","C2:57:36:E6:71:6E",-62
"2018-03-07 16:49:46.004","C2:57:36:E6:71:6E",-62
"2018-03-07 16:49:46.005","E5:3B:3A:53:DF:6C",-65
"2018-03-07 16:49:46.007","E5:3B:3A:53:DF:6C",-65
"2018-03-07 16:49:46.227","EC:8F:47:27:6C:DE",-65
"2018-03-07 16:49:46.249","EC:8F:47:27:6C:DE",-65
"2018-03-07 16:49:46.250","CB:3C:59:5F:87:FB",-65
"2018-03-07 16:49:46.251","CB:3C:59:5F:87:FB",-65
"2018-03-07 16:49:46.291","D9:86:6F:AF:E8:90",-66
"2018-03-07 16:49:46.293","D9:86:6F:AF:E8:90",-66
"2018-03-07 16:49:46.295","F8:77:B8:B9:2D:74",-93
"2018-03-07 16:49:46.514","01:03:AD:B6:F5:B6",-58
"2018-03-07 16:49:46.521","E9:0D:4A:6D:31:59",-61
"2018-03-07 16:49:46.561","E9:0D:4A:6D:31:59",-61
"2018-03-07 16:49:46.563","C8:2F:80:DA:26:94",-68
"2018-03-07 16:49:46.565","C8:2F:80:DA:26:94",-68
"2018-03-07 16:49:46.577","E8:FA:0D:3C:01:82",-58
"2018-03-07 16:49:46.580","E8:FA:0D:3C:01:82",-58
"2018-03-07 16:49:46.582","FD:99:D9:69:5D:BC",-63
"2018-03-07 16:49:46.587","FD:99:D9:69:5D:BC",-63
"2018-03-07 16:49:46.589","F1:4E:55:EA:ED:A4",-62
"2018-03-07 16:49:46.595","F1:4E:55:EA:ED:A4",-62
"2018-03-07 16:49:46.598","DC:94:C8:A9:D0:B6",-61
"2018-03-07 16:49:46.601","DC:94:C8:A9:D0:B6",-62
"2018-03-07 16:49:46.605","C2:57:36:E6:71:6E",-60
"2018-03-07 16:49:46.614","C2:57:36:E6:71:6E",-60
"2018-03-07 16:49:46.828","C2:57:36:E6:71:6E",-62
"2018-03-07 16:49:46.829","C2:57:36:E6:71:6E",-62
"2018-03-07 16:49:46.830","E5:3B:3A:53:DF:6C",-64
"2018-03-07 16:49:46.830","E5:3B:3A:53:DF:6C",-64
"2018-03-07 16:49:46.831","01:03:AD:B6:F5:B6",-71
"2018-03-07 16:49:46.834","75:33:23:D6:E1:5E",-99
"2018-03-07 16:49:46.849","EC:8F:47:27:6C:DE",-63
"2018-03-07 16:49:46.866","EC:8F:47:27:6C:DE",-63
"2018-03-07 16:49:46.869","CB:3C:59:5F:87:FB",-63
"2018-03-07 16:49:46.871","CB:3C:59:5F:87:FB",-63
"2018-03-07 16:49:46.904","D9:86:6F:AF:E8:90",-66
"2018-03-07 16:49:46.910","D9:86:6F:AF:E8:90",-66
"2018-03-07 16:49:47.147","E9:0D:4A:6D:31:59",-63
"2018-03-07 16:49:47.150","E9:0D:4A:6D:31:59",-63
"2018-03-07 16:49:47.151","C1:96:24:5B:EB:97",-58
"2018-03-07 16:49:47.151","C1:96:24:5B:EB:97",-58
"2018-03-07 16:49:47.151","01:03:AD:B6:F5:B6",-57
"2018-03-07 16:49:47.161","68:64:4B:39:4B:0F",-98
