DATETIME,MAC,RSSI
"2018-03-16 17:05:46.089","76:3F:BE:C1:44:D9",-82
"2018-03-16 17:05:46.099","CB:3C:59:5F:87:FB",-66
"2018-03-16 17:05:46.101","CB:3C:59:5F:87:FB",-67
"2018-03-16 17:05:46.102","DC:94:C8:A9:D0:B6",-70
"2018-03-16 17:05:46.103","DC:94:C8:A9:D0:B6",-70
"2018-03-16 17:05:46.113","E8:FA:0D:3C:01:82",-61
"2018-03-16 17:05:46.135","E8:FA:0D:3C:01:82",-61
"2018-03-16 17:05:46.137","E5:3B:3A:53:DF:6C",-80
"2018-03-16 17:05:46.139","E5:3B:3A:53:DF:6C",-81
"2018-03-16 17:05:46.349","E5:3B:3A:53:DF:6C",-65
"2018-03-16 17:05:46.350","E5:3B:3A:53:DF:6C",-65
"2018-03-16 17:05:46.353","1D:35:DA:3F:51:F6",-63
"2018-03-16 17:05:46.369","C2:57:36:E6:71:6E",-71
"2018-03-16 17:05:46.394","C2:57:36:E6:71:6E",-71
"2018-03-16 17:05:46.395","F1:4E:55:EA:ED:A4",-70
"2018-03-16 17:05:46.399","F1:4E:55:EA:ED:A4",-70
"2018-03-16 17:05:46.402","C1:96:24:5B:EB:97",-67
"2018-03-16 17:05:46.417","C1:96:24:5B:EB:97",-67
"2018-03-16 17:05:46.418","E9:0D:4A:6D:31:59",-68
"2018-03-16 17:05:46.419","E9:0D:4A:6D:31:59",-68
"2018-03-16 17:05:46.419","D9:86:6F:AF:E8:90",-75
"2018-03-16 17:05:46.436","D9:86:6F:AF:E8:90",-75
"2018-03-16 17:05:46.438","FD:99:D9:69:5D:BC",-72
"2018-03-16 17:05:46.440","FD:99:D9:69:5D:BC",-71
"2018-03-16 17:05:46.441","EC:8F:47:27:6C:DE",-70
"2018-03-16 17:05:46.652","EC:8F:47:27:6C:DE",-66
"2018-03-16 17:05:46.668","EC:8F:47:27:6C:DE",-66
"2018-03-16 17:05:46.672","1D:35:DA:3F:51:F6",-59
"2018-03-16 17:05:46.673","61:B8:47:F5:59:8C",-103
"2018-03-16 17:05:46.675","C8:2F:80:DA:26:94",-68
"2018-03-16 17:05:46.690","C8:2F:80:DA:26:94",-68
"2018-03-16 17:05:46.692","D9:86:6F:AF:E8:90",-66
"2018-03-16 17:05:46.696","D9:86:6F:AF:E8:90",-66
"2018-03-16 17:05:46.698","98:9E:63:42:70:FD",-101
"2018-03-16 17:05:46.702","F8:77:B8:B9:2D:74",-103
"2018-03-16 17:05:46.711","CB:3C:59:5F:87:FB",-65
"2018-03-16 17:05:46.713","CB:3C:59:5F:87:FB",-65
"2018-03-16 17:05:46.719","DC:94:C8:A9:D0:B6",-63
"2018-03-16 17:05:46.719","DC:94:C8:A9:D0:B6",-63
"2018-03-16 17:05:46.729","E8:FA:0D:3C:01:82",-63
"2018-03-16 17:05:46.737","E8:FA:0D:3C:01:82",-63
"2018-03-16 17:05:46.949","78:4F:43:78:44:5D",-101
"2018-03-16 17:05:46.952","E5:3B:3A:53:DF:6C",-74
"2018-03-16 17:05:46.979","E5:3B:3A:53:DF:6C",-76
"2018-03-16 17:05:46.980","1D:35:DA:3F:51:F6",-63
"2018-03-16 17:05:46.985","C2:57:36:E6:71:6E",-69
"2018-03-16 17:05:47.009","C2:57:36:E6:71:6E",-69
"2018-03-16 17:05:47.014","76:3F:BE:C1:44:D9",-86
"2018-03-16 17:05:47.019","76:3F:BE:C1:44:D9",-86
"2018-03-16 17:05:47.021","F8:77:B8:B9:2D:74",-101
"2018-03-16 17:05:47.023","F1:4E:55:EA:ED:A4",-63
"2018-03-16 17:05:47.025","F1:4E:55:EA:ED:A4",-63
"2018-03-16 17:05:47.027","C1:96:24:5B:EB:97",-63
"2018-03-16 17:05:47.029","C1:96:24:5B:EB:97",-63
"2018-03-16 17:05:47.240","3C:15:C2:C7:F7:27",-96
"2018-03-16 17:05:47.246","3C:15:C2:C7:F7:27",-98
"2018-03-16 17:05:47.248","98:9E:63:42:70:FD",-99
"2018-03-16 17:05:47.253","98:9E:63:42:70:FD",-103
"2018-03-16 17:05:47.256","E9:0D:4A:6D:31:59",-68
"2018-03-16 17:05:47.259","E9:0D:4A:6D:31:59",-68
"2018-03-16 17:05:47.262","FD:99:D9:69:5D:BC",-72
"2018-03-16 17:05:47.265","FD:99:D9:69:5D:BC",-72
"2018-03-16 17:05:47.269","EC:8F:47:27:6C:DE",-70
"2018-03-16 17:05:47.284","EC:8F:47:27:6C:DE",-71
"2018-03-16 17:05:47.289","C8:2F:80:DA:26:94",-68
"2018-03-16 17:05:47.291","C8:2F:80:DA:26:94",-68
"2018-03-16 17:05:47.294","1D:35:DA:3F:51:F6",-67
"2018-03-16 17:05:47.302","7E:2E:AA:0F:02:3A",-95
"2018-03-16 17:05:47.317","DC:94:C8:A9:D0:B6",-64
"2018-03-16 17:05:47.338","DC:94:C8:A9:D0:B6",-64
"2018-03-16 17:05:47.546","E8:FA:0D:3C:01:82",-63
"2018-03-16 17:05:47.563","E8:FA:0D:3C:01:82",-63
"2018-03-16 17:05:47.565","E5:3B:3A:53:DF:6C",-65
"2018-03-16 17:05:47.567","E5:3B:3A:53:DF:6C",-65
"2018-03-16 17:05:47.569","76:3F:BE:C1:44:D9",-85
"2018-03-16 17:05:47.570","76:3F:BE:C1:44:D9",-86
"2018-03-16 17:05:47.575","7E:2E:AA:0F:02:3A",-101
"2018-03-16 17:05:47.591","4B:F7:FA:A9:DF:E3",-101
"2018-03-16 17:05:47.597","C2:57:36:E6:71:6E",-69
"2018-03-16 17:05:47.603","C2:57:36:E6:71:6E",-69
"2018-03-16 17:05:47.607","1D:35:DA:3F:51:F6",-57
"2018-03-16 17:05:47.611","98:9E:63:42:70:FD",-103
"2018-03-16 17:05:47.617","F8:77:B8:B9:2D:74",-103
"2018-03-16 17:05:47.620","46:B4:1F:46:95:66",-88
"2018-03-16 17:05:47.637","46:B4:1F:46:95:66",-88
"2018-03-16 17:05:47.638","F1:4E:55:EA:ED:A4",-65
"2018-03-16 17:05:47.640","F1:4E:55:EA:ED:A4",-65
"2018-03-16 17:05:47.851","C1:96:24:5B:EB:97",-62
"2018-03-16 17:05:47.864","C1:96:24:5B:EB:97",-62
"2018-03-16 17:05:47.869","FD:99:D9:69:5D:BC",-65
"2018-03-16 17:05:47.870","FD:99:D9:69:5D:BC",-65
"2018-03-16 17:05:47.872","E9:0D:4A:6D:31:59",-68
"2018-03-16 17:05:47.874","E9:0D:4A:6D:31:59",-68
"2018-03-16 17:05:47.877","EC:8F:47:27:6C:DE",-63
"2018-03-16 17:05:47.881","EC:8F:47:27:6C:DE",-63
"2018-03-16 17:05:47.893","C8:2F:80:DA:26:94",-65
"2018-03-16 17:05:47.895","C8:2F:80:DA:26:94",-65
"2018-03-16 17:05:47.897","46:B4:1F:46:95:66",-82
"2018-03-16 17:05:47.899","46:B4:1F:46:95:66",-83
"2018-03-16 17:05:47.903","F1:4E:55:EA:ED:A4",-63
"2018-03-16 17:05:47.916","F1:4E:55:EA:ED:A4",-63
"2018-03-16 17:05:47.918","D9:86:6F:AF:E8:90",-68
"2018-03-16 17:05:47.920","D9:86:6F:AF:E8:90",-68
"2018-03-16 17:05:47.928","76:3F:BE:C1:44:D9",-81
"2018-03-16 17:05:47.930","76:3F:BE:C1:44:D9",-81
"2018-03-16 17:05:47.935","CB:3C:59:5F:87:FB",-66
"2018-03-16 17:05:47.937","CB:3C:59:5F:87:FB",-66
"2018-03-16 17:05:48.139","4B:F7:FA:A9:DF:E3",-88
"2018-03-16 17:05:48.148","4B:F7:FA:A9:DF:E3",-89
"2018-03-16 17:05:48.149","75:33:23:D6:E1:5E",-98
"2018-03-16 17:05:48.158","E8:FA:0D:3C:01:82",-63
"2018-03-16 17:05:48.163","E8:FA:0D:3C:01:82",-63
"2018-03-16 17:05:48.165","46:B4:1F:46:95:66",-83
"2018-03-16 17:05:48.170","46:B4:1F:46:95:66",-83
"2018-03-16 17:05:48.175","E5:3B:3A:53:DF:6C",-65
"2018-03-16 17:05:48.191","E5:3B:3A:53:DF:6C",-64
"2018-03-16 17:05:48.192","DC:94:C8:A9:D0:B6",-64
"2018-03-16 17:05:48.195","DC:94:C8:A9:D0:B6",-63
"2018-03-16 17:05:48.211","C2:57:36:E6:71:6E",-71
"2018-03-16 17:05:48.228","C2:57:36:E6:71:6E",-71
"2018-03-16 17:05:48.230","1D:35:DA:3F:51:F6",-70
"2018-03-16 17:05:48.444","1D:35:DA:3F:51:F6",-55
"2018-03-16 17:05:48.451","C1:96:24:5B:EB:97",-60
