DATETIME,MAC,RSSI
"2018-03-16 17:11:38.566","E5:3B:3A:53:DF:6C",-53
"2018-03-16 17:11:38.801","1D:35:DA:3F:51:F6",-62
"2018-03-16 17:11:38.809","EC:8F:47:27:6C:DE",-58
"2018-03-16 17:11:38.839","EC:8F:47:27:6C:DE",-58
"2018-03-16 17:11:38.843","E9:0D:4A:6D:31:59",-56
"2018-03-16 17:11:38.847","F1:4E:55:EA:ED:A4",-56
"2018-03-16 17:11:38.851","F1:4E:55:EA:ED:A4",-56
"2018-03-16 17:11:38.852","FD:99:D9:69:5D:BC",-57
"2018-03-16 17:11:38.856","FD:99:D9:69:5D:BC",-57
"2018-03-16 17:11:38.858","D9:86:6F:AF:E8:90",-59
"2018-03-16 17:11:38.861","D9:86:6F:AF:E8:90",-58
"2018-03-16 17:11:38.870","98:9E:63:42:70:FD",-102
"2018-03-16 17:11:38.875","EC:8F:47:27:6C:DE",-58
"2018-03-16 17:11:38.881","EC:8F:47:27:6C:DE",-58
"2018-03-16 17:11:38.883","C8:2F:80:DA:26:94",-57
"2018-03-16 17:11:38.888","C8:2F:80:DA:26:94",-57
"2018-03-16 17:11:38.902","1D:35:DA:3F:51:F6",-61
"2018-03-16 17:11:38.905","7E:2E:AA:0F:02:3A",-90
"2018-03-16 17:11:38.920","7E:2E:AA:0F:02:3A",-90
"2018-03-16 17:11:39.138","DC:94:C8:A9:D0:B6",-58
"2018-03-16 17:11:39.157","DC:94:C8:A9:D0:B6",-58
"2018-03-16 17:11:39.159","C2:57:36:E6:71:6E",-57
"2018-03-16 17:11:39.161","C2:57:36:E6:71:6E",-58
"2018-03-16 17:11:39.173","E5:3B:3A:53:DF:6C",-53
"2018-03-16 17:11:39.177","7F:4B:65:4E:9A:05",-98
"2018-03-16 17:11:39.183","7F:4B:65:4E:9A:05",-98
"2018-03-16 17:11:39.185","7E:2E:AA:0F:02:3A",-91
"2018-03-16 17:11:39.189","7E:2E:AA:0F:02:3A",-91
"2018-03-16 17:11:39.211","1D:35:DA:3F:51:F6",-70
"2018-03-16 17:11:39.737","7E:2E:AA:0F:02:3A",-88
"2018-03-16 17:11:39.738","75:33:23:D6:E1:5E",-101
"2018-03-16 17:11:39.752","DC:94:C8:A9:D0:B6",-54
"2018-03-16 17:11:39.791","DC:94:C8:A9:D0:B6",-53
"2018-03-16 17:11:39.793","98:9E:63:42:70:FD",-100
"2018-03-16 17:11:39.795","98:9E:63:42:70:FD",-102
"2018-03-16 17:11:39.797","E5:3B:3A:53:DF:6C",-53
"2018-03-16 17:11:39.819","C2:57:36:E6:71:6E",-57
"2018-03-16 17:11:39.821","C2:57:36:E6:71:6E",-57
"2018-03-16 17:11:40.054","1D:35:DA:3F:51:F6",-59
"2018-03-16 17:11:40.067","C1:96:24:5B:EB:97",-55
"2018-03-16 17:11:40.069","C1:96:24:5B:EB:97",-55
"2018-03-16 17:11:40.070","E9:0D:4A:6D:31:59",-56
"2018-03-16 17:11:40.073","E9:0D:4A:6D:31:59",-56
"2018-03-16 17:11:40.077","FD:99:D9:69:5D:BC",-57
"2018-03-16 17:11:40.085","FD:99:D9:69:5D:BC",-57
"2018-03-16 17:11:40.085","D9:86:6F:AF:E8:90",-59
"2018-03-16 17:11:40.088","D9:86:6F:AF:E8:90",-59
"2018-03-16 17:11:40.090","F1:4E:55:EA:ED:A4",-56
"2018-03-16 17:11:40.105","F1:4E:55:EA:ED:A4",-56
"2018-03-16 17:11:40.109","C8:2F:80:DA:26:94",-57
"2018-03-16 17:11:40.112","C8:2F:80:DA:26:94",-57
"2018-03-16 17:11:40.115","3C:15:C2:C7:F7:27",-103
"2018-03-16 17:11:40.119","EC:8F:47:27:6C:DE",-58
"2018-03-16 17:11:40.121","EC:8F:47:27:6C:DE",-58
"2018-03-16 17:11:40.340","EC:8F:47:27:6C:DE",-55
"2018-03-16 17:11:40.340","EC:8F:47:27:6C:DE",-55
"2018-03-16 17:11:40.341","98:9E:63:42:70:FD",-103
"2018-03-16 17:11:40.354","F8:77:B8:B9:2D:74",-96
"2018-03-16 17:11:40.365","1D:35:DA:3F:51:F6",-68
"2018-03-16 17:11:40.375","E8:FA:0D:3C:01:82",-53
"2018-03-16 17:11:40.425","E8:FA:0D:3C:01:82",-53
"2018-03-16 17:11:40.643","C2:57:36:E6:71:6E",-57
"2018-03-16 17:11:40.656","C2:57:36:E6:71:6E",-57
"2018-03-16 17:11:40.657","3C:15:C2:C7:F7:27",-99
"2018-03-16 17:11:40.659","4F:90:35:1D:E2:40",-100
"2018-03-16 17:11:40.674","1D:35:DA:3F:51:F6",-63
"2018-03-16 17:11:40.680","C1:96:24:5B:EB:97",-52
"2018-03-16 17:11:40.690","C1:96:24:5B:EB:97",-51
"2018-03-16 17:11:40.692","E9:0D:4A:6D:31:59",-53
"2018-03-16 17:11:40.698","E9:0D:4A:6D:31:59",-53
"2018-03-16 17:11:40.699","FD:99:D9:69:5D:BC",-58
"2018-03-16 17:11:40.701","FD:99:D9:69:5D:BC",-58
"2018-03-16 17:11:40.704","F1:4E:55:EA:ED:A4",-55
"2018-03-16 17:11:40.709","98:9E:63:42:70:FD",-100
"2018-03-16 17:11:40.717","61:B8:47:F5:59:8C",-102
"2018-03-16 17:11:40.936","4F:90:35:1D:E2:40",-102
"2018-03-16 17:11:40.936","EC:8F:47:27:6C:DE",-58
"2018-03-16 17:11:40.956","D9:86:6F:AF:E8:90",-59
"2018-03-16 17:11:40.984","D9:86:6F:AF:E8:90",-58
"2018-03-16 17:11:40.986","1D:35:DA:3F:51:F6",-58
"2018-03-16 17:11:40.988","E8:FA:0D:3C:01:82",-56
"2018-03-16 17:11:40.991","E8:FA:0D:3C:01:82",-56
"2018-03-16 17:11:40.994","DC:94:C8:A9:D0:B6",-59
"2018-03-16 17:11:40.994","DC:94:C8:A9:D0:B6",-59
"2018-03-16 17:11:41.015","E5:3B:3A:53:DF:6C",-55
"2018-03-16 17:11:41.019","E5:3B:3A:53:DF:6C",-54
"2018-03-16 17:11:41.022","CB:3C:59:5F:87:FB",-55
"2018-03-16 17:11:41.023","CB:3C:59:5F:87:FB",-55
"2018-03-16 17:11:41.261","C2:57:36:E6:71:6E",-57
"2018-03-16 17:11:41.286","C2:57:36:E6:71:6E",-57
"2018-03-16 17:11:41.288","F8:77:B8:B9:2D:74",-97
"2018-03-16 17:11:41.291","C1:96:24:5B:EB:97",-55
"2018-03-16 17:11:41.294","C1:96:24:5B:EB:97",-55
"2018-03-16 17:11:41.298","1D:35:DA:3F:51:F6",-68
"2018-03-16 17:11:41.299","E9:0D:4A:6D:31:59",-54
"2018-03-16 17:11:41.306","E9:0D:4A:6D:31:59",-54
"2018-03-16 17:11:41.309","FD:99:D9:69:5D:BC",-56
"2018-03-16 17:11:41.310","FD:99:D9:69:5D:BC",-56
"2018-03-16 17:11:41.313","F1:4E:55:EA:ED:A4",-55
"2018-03-16 17:11:41.315","F1:4E:55:EA:ED:A4",-55
"2018-03-16 17:11:41.555","EC:8F:47:27:6C:DE",-58
"2018-03-16 17:11:41.561","EC:8F:47:27:6C:DE",-58
"2018-03-16 17:11:41.565","75:33:23:D6:E1:5E",-101
"2018-03-16 17:11:41.568","C8:2F:80:DA:26:94",-53
"2018-03-16 17:11:41.570","C8:2F:80:DA:26:94",-53
"2018-03-16 17:11:41.571","3C:15:C2:C7:F7:27",-101
"2018-03-16 17:11:41.574","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:11:41.599","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:11:41.600","E8:FA:0D:3C:01:82",-57
"2018-03-16 17:11:41.604","E8:FA:0D:3C:01:82",-57
"2018-03-16 17:11:41.606","DC:94:C8:A9:D0:B6",-54
"2018-03-16 17:11:41.610","DC:94:C8:A9:D0:B6",-53
"2018-03-16 17:11:41.611","1D:35:DA:3F:51:F6",-63
"2018-03-16 17:11:41.616","98:9E:63:42:70:FD",-101
"2018-03-16 17:11:41.834","E5:3B:3A:53:DF:6C",-55
"2018-03-16 17:11:41.842","DC:94:C8:A9:D0:B6",-58
"2018-03-16 17:11:41.867","DC:94:C8:A9:D0:B6",-58
"2018-03-16 17:11:41.868","C2:57:36:E6:71:6E",-61
"2018-03-16 17:11:41.869","C2:57:36:E6:71:6E",-61
"2018-03-16 17:11:41.906","C1:96:24:5B:EB:97",-55
"2018-03-16 17:11:41.918","C1:96:24:5B:EB:97",-55
"2018-03-16 17:11:41.920","E9:0D:4A:6D:31:59",-56
"2018-03-16 17:11:41.928","E9:0D:4A:6D:31:59",-56
"2018-03-16 17:11:42.141","FD:99:D9:69:5D:BC",-55
"2018-03-16 17:11:42.142","FD:99:D9:69:5D:BC",-55
"2018-03-16 17:11:42.142","1D:35:DA:3F:51:F6",-67
"2018-03-16 17:11:42.155","EC:8F:47:27:6C:DE",-55
"2018-03-16 17:11:42.169","EC:8F:47:27:6C:DE",-55
"2018-03-16 17:11:42.173","7F:4B:65:4E:9A:05",-103
"2018-03-16 17:11:42.174","C8:2F:80:DA:26:94",-54
"2018-03-16 17:11:42.182","C8:2F:80:DA:26:94",-54
"2018-03-16 17:11:42.183","F1:4E:55:EA:ED:A4",-55
"2018-03-16 17:11:42.186","F1:4E:55:EA:ED:A4",-55
"2018-03-16 17:11:42.189","D9:86:6F:AF:E8:90",-56
"2018-03-16 17:11:42.214","D9:86:6F:AF:E8:90",-56
"2018-03-16 17:11:42.216","E8:FA:0D:3C:01:82",-54
"2018-03-16 17:11:42.220","E8:FA:0D:3C:01:82",-54
"2018-03-16 17:11:42.221","F8:77:B8:B9:2D:74",-98
"2018-03-16 17:11:42.440","7F:4B:65:4E:9A:05",-101
"2018-03-16 17:11:42.442","E5:3B:3A:53:DF:6C",-53
"2018-03-16 17:11:42.455","E5:3B:3A:53:DF:6C",-53
"2018-03-16 17:11:42.455","1D:35:DA:3F:51:F6",-63
"2018-03-16 17:11:42.456","CB:3C:59:5F:87:FB",-51
"2018-03-16 17:11:42.463","CB:3C:59:5F:87:FB",-51
"2018-03-16 17:11:42.465","DC:94:C8:A9:D0:B6",-53
"2018-03-16 17:11:42.467","DC:94:C8:A9:D0:B6",-53
"2018-03-16 17:11:42.477","C2:57:36:E6:71:6E",-57
"2018-03-16 17:11:42.481","C2:57:36:E6:71:6E",-57
"2018-03-16 17:11:42.483","3C:15:C2:C7:F7:27",-101
"2018-03-16 17:11:42.738","C1:96:24:5B:EB:97",-55
"2018-03-16 17:11:42.742","C1:96:24:5B:EB:97",-55
"2018-03-16 17:11:42.744","FD:99:D9:69:5D:BC",-57
"2018-03-16 17:11:42.747","FD:99:D9:69:5D:BC",-57
"2018-03-16 17:11:42.766","EC:8F:47:27:6C:DE",-58
"2018-03-16 17:11:42.796","EC:8F:47:27:6C:DE",-58
"2018-03-16 17:11:42.798","C8:2F:80:DA:26:94",-57
"2018-03-16 17:11:42.800","C8:2F:80:DA:26:94",-57
"2018-03-16 17:11:42.804","F1:4E:55:EA:ED:A4",-56
"2018-03-16 17:11:42.804","F1:4E:55:EA:ED:A4",-56
"2018-03-16 17:11:42.806","D9:86:6F:AF:E8:90",-58
"2018-03-16 17:11:42.807","D9:86:6F:AF:E8:90",-58
"2018-03-16 17:11:43.351","C1:96:24:5B:EB:97",-52
